selection_method,n_select,group_size,num_groups,mae,rmse,gnn_time_per_slice,music_time_per_slice,run_dir
corr,10,5,2,0.5919275260823629,1.3966103984440241,5.416640316147402e-05,0.01226093050945236,./results/all_methods_sweep_track12/method_corr/sel10_gsize5
corr,20,5,4,0.33092115011550993,1.275477162696447,9.66916601341891e-05,0.020470851875213254,./results/all_methods_sweep_track12/method_corr/sel20_gsize5
corr,30,5,6,1.620674914625051,2.260019591345202,0.00011989984167627541,0.027194093221641447,./results/all_methods_sweep_track12/method_corr/sel30_gsize5
corr,40,5,8,0.6652488019106273,1.3432862970470045,0.00014683309807834855,0.03855788966259324,./results/all_methods_sweep_track12/method_corr/sel40_gsize5
fim,10,5,2,0.3899054285996387,1.0281145960227385,5.666204245693712e-05,0.009188176924923816,./results/all_methods_sweep_track12/method_fim/sel10_gsize5
fim,20,5,4,0.33637924653909135,1.0516685060615232,8.82993261498141e-05,0.021256187163203596,./results/all_methods_sweep_track12/method_fim/sel20_gsize5
fim,30,5,6,0.48751956066569513,1.2989155641700196,0.000129098777311394,0.028908387724175512,./results/all_methods_sweep_track12/method_fim/sel30_gsize5
fim,40,5,8,0.5245035240437801,1.4442751833800183,0.00013936916029596904,0.03305695660143013,./results/all_methods_sweep_track12/method_fim/sel40_gsize5
dopt,10,5,2,0.357653316819473,1.3252315199376525,5.613752158291369e-05,0.010314230746533497,./results/all_methods_sweep_track12/method_dopt/sel10_gsize5
dopt,20,5,4,0.6802764984510123,1.511551044213758,8.734392832560712e-05,0.01748748515025679,./results/all_methods_sweep_track12/method_dopt/sel20_gsize5
dopt,30,5,6,0.9457147391458174,1.7418880072569352,0.00011226010609822101,0.024619128905146954,./results/all_methods_sweep_track12/method_dopt/sel30_gsize5
dopt,40,5,8,1.036505839337483,1.771595088969356,0.00011701698762824736,0.03049865630735834,./results/all_methods_sweep_track12/method_dopt/sel40_gsize5
